event_id,sta_code,p_polarity,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,sr_dist_km,source,sp_ratio,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km,pol_agreement,sp_diff,mech_quality,pol_agreement_weighted
123456,XX.ST000.--.EHZ,-1.0,53.5,75.0,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST001.--.EHZ,-1.0,53.5,69.7,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST002.--.EHZ,-1.0,53.5,64.4,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST003.--.EHZ,-1.0,53.5,59.1,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST004.--.EHZ,-1.0,53.5,53.9,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST005.--.EHZ,-1.0,53.5,48.6,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST006.--.EHZ,-1.0,53.5,43.3,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST007.--.EHZ,-1.0,53.5,38.0,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST008.--.EHZ,-1.0,53.5,32.7,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST009.--.EHZ,-1.0,53.5,27.4,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST010.--.EHZ,-1.0,53.5,22.1,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST011.--.EHZ,1.0,53.5,16.9,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,0.0,,A,0.0
123456,XX.ST012.--.EHZ,-1.0,53.5,11.6,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST013.--.EHZ,-1.0,53.5,6.3,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST014.--.EHZ,-1.0,53.5,1.0,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST015.--.EHZ,1.0,53.5,-1.0,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST016.--.EHZ,1.0,53.5,-6.3,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST017.--.EHZ,1.0,53.5,-11.6,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST018.--.EHZ,1.0,53.5,-16.9,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
123456,XX.ST019.--.EHZ,1.0,53.5,-22.1,0.1,0.1,,trad_p,,37.412116,-122.059357,12.345,0.2,0.4,1.0,,A,1.0
